REFERENCE	 DEGRADED	 PESQMOS	 SAMPLE_FREQ
 g729char\exp3\original\a\a_f01s01.src	 g729char\exp1\coded\a\ae1f5901.out	3.575	16000
 g729char\exp3\original\a\a_f02s01.src	 g729char\exp1\coded\a\ae1f8501.out	3.603	16000
 g729char\exp3\original\a\a_m01s01.src	 g729char\exp1\coded\a\ae1m0101.out	3.919	16000
 g729char\exp3\original\a\a_m02s01.src	 g729char\exp1\coded\a\ae1m2d01.out	3.968	16000
 g729char\exp3\original\a\a_f01s02.src	 g729char\exp1\coded\a\ae1f5a02.out	3.229	16000
 g729char\exp3\original\a\a_f02s02.src	 g729char\exp1\coded\a\ae1f8602.out	3.272	16000
 g729char\exp3\original\a\a_m01s02.src	 g729char\exp1\coded\a\ae1m0202.out	3.63	16000
 g729char\exp3\original\a\a_m02s02.src	 g729char\exp1\coded\a\ae1m2e02.out	3.473	16000
 g729char\exp3\original\a\a_f01s03.src	 g729char\exp1\coded\a\ae1f5b03.out	2.798	16000
 g729char\exp3\original\a\a_f02s03.src	 g729char\exp1\coded\a\ae1f8703.out	2.999	16000
 g729char\exp3\original\a\a_m01s03.src	 g729char\exp1\coded\a\ae1m0303.out	3.108	16000
 g729char\exp3\original\a\a_m02s03.src	 g729char\exp1\coded\a\ae1m2f03.out	3.177	16000
 g729char\exp3\original\a\a_f01s04.src	 g729char\exp1\coded\a\ae1f5c04.out	3.876	16000
 g729char\exp3\original\a\a_f02s04.src	 g729char\exp1\coded\a\ae1f8804.out	3.746	16000
 g729char\exp3\original\a\a_m01s04.src	 g729char\exp1\coded\a\ae1m0404.out	4.155	16000
 g729char\exp3\original\a\a_m02s04.src	 g729char\exp1\coded\a\ae1m3004.out	4.097	16000
 g729char\exp3\original\a\a_f01s05.src	 g729char\exp1\coded\a\ae1f5d05.out	3.316	16000
 g729char\exp3\original\a\a_f02s05.src	 g729char\exp1\coded\a\ae1f8905.out	3.326	16000
 g729char\exp3\original\a\a_m01s05.src	 g729char\exp1\coded\a\ae1m0505.out	3.54	16000
 g729char\exp3\original\a\a_m02s05.src	 g729char\exp1\coded\a\ae1m3105.out	3.513	16000
 g729char\exp3\original\a\a_f01s06.src	 g729char\exp1\coded\a\ae1f5e06.out	3.663	16000
 g729char\exp3\original\a\a_f02s06.src	 g729char\exp1\coded\a\ae1f8a06.out	3.551	16000
 g729char\exp3\original\a\a_m01s06.src	 g729char\exp1\coded\a\ae1m0606.out	3.992	16000
 g729char\exp3\original\a\a_m02s06.src	 g729char\exp1\coded\a\ae1m3206.out	3.942	16000
 g729char\exp3\original\a\a_f01s07.src	 g729char\exp1\coded\a\ae1f5f07.out	4.084	16000
 g729char\exp3\original\a\a_f02s07.src	 g729char\exp1\coded\a\ae1f8b07.out	4.131	16000
 g729char\exp3\original\a\a_m01s07.src	 g729char\exp1\coded\a\ae1m0707.out	4.206	16000
 g729char\exp3\original\a\a_m02s07.src	 g729char\exp1\coded\a\ae1m3307.out	4.304	16000
 g729char\exp3\original\a\a_f01s08.src	 g729char\exp1\coded\a\ae1f6008.out	3.127	16000
 g729char\exp3\original\a\a_f02s08.src	 g729char\exp1\coded\a\ae1f8c08.out	3.209	16000
 g729char\exp3\original\a\a_m01s08.src	 g729char\exp1\coded\a\ae1m0808.out	3.644	16000
 g729char\exp3\original\a\a_m02s08.src	 g729char\exp1\coded\a\ae1m3408.out	3.775	16000
 g729char\exp3\original\a\a_f01s09.src	 g729char\exp1\coded\a\ae1f6109.out	3.154	16000
 g729char\exp3\original\a\a_f02s09.src	 g729char\exp1\coded\a\ae1f8d09.out	3.343	16000
 g729char\exp3\original\a\a_m01s09.src	 g729char\exp1\coded\a\ae1m0909.out	3.548	16000
 g729char\exp3\original\a\a_m02s09.src	 g729char\exp1\coded\a\ae1m3509.out	3.8	16000
 g729char\exp3\original\a\a_f01s10.src	 g729char\exp1\coded\a\ae1f6210.out	3.027	16000
 g729char\exp3\original\a\a_f02s10.src	 g729char\exp1\coded\a\ae1f8e10.out	3.169	16000
 g729char\exp3\original\a\a_m01s10.src	 g729char\exp1\coded\a\ae1m0a10.out	3.257	16000
 g729char\exp3\original\a\a_m02s10.src	 g729char\exp1\coded\a\ae1m3610.out	3.683	16000
 g729char\exp3\original\a\a_f01s11.src	 g729char\exp1\coded\a\ae1f6311.out	3.436	16000
 g729char\exp3\original\a\a_f02s11.src	 g729char\exp1\coded\a\ae1f8f11.out	3.412	16000
 g729char\exp3\original\a\a_m01s11.src	 g729char\exp1\coded\a\ae1m0b11.out	3.771	16000
 g729char\exp3\original\a\a_m02s11.src	 g729char\exp1\coded\a\ae1m3711.out	3.761	16000
 g729char\exp3\original\a\a_f01s12.src	 g729char\exp1\coded\a\ae1f6412.out	3.182	16000
 g729char\exp3\original\a\a_f02s12.src	 g729char\exp1\coded\a\ae1f9012.out	3.298	16000
 g729char\exp3\original\a\a_m01s12.src	 g729char\exp1\coded\a\ae1m0c12.out	3.567	16000
 g729char\exp3\original\a\a_m02s12.src	 g729char\exp1\coded\a\ae1m3812.out	3.556	16000
 g729char\exp3\original\a\a_f01s13.src	 g729char\exp1\coded\a\ae1f6513.out	2.986	16000
 g729char\exp3\original\a\a_f02s13.src	 g729char\exp1\coded\a\ae1f9113.out	2.996	16000
 g729char\exp3\original\a\a_m01s13.src	 g729char\exp1\coded\a\ae1m0d13.out	3.399	16000
 g729char\exp3\original\a\a_m02s13.src	 g729char\exp1\coded\a\ae1m3913.out	3.699	16000
 g729char\exp3\original\a\a_f01s14.src	 g729char\exp1\coded\a\ae1f6614.out	2.77	16000
 g729char\exp3\original\a\a_f02s14.src	 g729char\exp1\coded\a\ae1f9214.out	3.076	16000
 g729char\exp3\original\a\a_m01s14.src	 g729char\exp1\coded\a\ae1m0e14.out	3.319	16000
 g729char\exp3\original\a\a_m02s14.src	 g729char\exp1\coded\a\ae1m3a14.out	3.454	16000
 g729char\exp3\original\a\a_f01s15.src	 g729char\exp1\coded\a\ae1f6715.out	2.9	16000
 g729char\exp3\original\a\a_f02s15.src	 g729char\exp1\coded\a\ae1f9315.out	3.042	16000
 g729char\exp3\original\a\a_m01s15.src	 g729char\exp1\coded\a\ae1m0f15.out	3.127	16000
 g729char\exp3\original\a\a_m02s15.src	 g729char\exp1\coded\a\ae1m3b15.out	3.397	16000
 g729char\exp3\original\a\a_f01s16.src	 g729char\exp1\coded\a\ae1f6816.out	3.353	16000
 g729char\exp3\original\a\a_f02s16.src	 g729char\exp1\coded\a\ae1f9416.out	3.529	16000
 g729char\exp3\original\a\a_m01s16.src	 g729char\exp1\coded\a\ae1m1016.out	3.759	16000
 g729char\exp3\original\a\a_m02s16.src	 g729char\exp1\coded\a\ae1m3c16.out	4.011	16000
 g729char\exp3\original\a\a_f01s17.src	 g729char\exp1\coded\a\ae1f6917.out	3.456	16000
 g729char\exp3\original\a\a_f02s17.src	 g729char\exp1\coded\a\ae1f9517.out	3.455	16000
 g729char\exp3\original\a\a_m01s17.src	 g729char\exp1\coded\a\ae1m1117.out	3.521	16000
 g729char\exp3\original\a\a_m02s17.src	 g729char\exp1\coded\a\ae1m3d17.out	3.601	16000
 g729char\exp3\original\a\a_f01s18.src	 g729char\exp1\coded\a\ae1f6a18.out	3.153	16000
 g729char\exp3\original\a\a_f02s18.src	 g729char\exp1\coded\a\ae1f9618.out	3.259	16000
 g729char\exp3\original\a\a_m01s18.src	 g729char\exp1\coded\a\ae1m1218.out	3.581	16000
 g729char\exp3\original\a\a_m02s18.src	 g729char\exp1\coded\a\ae1m3e18.out	3.598	16000
 g729char\exp3\original\a\a_f01s19.src	 g729char\exp1\coded\a\ae1f6b19.out	3.018	16000
 g729char\exp3\original\a\a_f02s19.src	 g729char\exp1\coded\a\ae1f9719.out	3.088	16000
 g729char\exp3\original\a\a_m01s19.src	 g729char\exp1\coded\a\ae1m1319.out	3.428	16000
 g729char\exp3\original\a\a_m02s19.src	 g729char\exp1\coded\a\ae1m3f19.out	3.512	16000
 g729char\exp3\original\a\a_f01s20.src	 g729char\exp1\coded\a\ae1f6c20.out	2.85	16000
 g729char\exp3\original\a\a_f02s20.src	 g729char\exp1\coded\a\ae1f9820.out	2.962	16000
 g729char\exp3\original\a\a_m01s20.src	 g729char\exp1\coded\a\ae1m1420.out	3.004	16000
 g729char\exp3\original\a\a_m02s20.src	 g729char\exp1\coded\a\ae1m4020.out	3.252	16000
 g729char\exp3\original\a\a_f01s21.src	 g729char\exp1\coded\a\ae1f6d21.out	2.746	16000
 g729char\exp3\original\a\a_f02s21.src	 g729char\exp1\coded\a\ae1f9921.out	2.996	16000
 g729char\exp3\original\a\a_m01s21.src	 g729char\exp1\coded\a\ae1m1521.out	3.188	16000
 g729char\exp3\original\a\a_m02s21.src	 g729char\exp1\coded\a\ae1m4121.out	3.292	16000
 g729char\exp3\original\a\a_f01s22.src	 g729char\exp1\coded\a\ae1f6e22.out	2.625	16000
 g729char\exp3\original\a\a_f02s22.src	 g729char\exp1\coded\a\ae1f9a22.out	3.012	16000
 g729char\exp3\original\a\a_m01s22.src	 g729char\exp1\coded\a\ae1m1622.out	2.978	16000
 g729char\exp3\original\a\a_m02s22.src	 g729char\exp1\coded\a\ae1m4222.out	3.37	16000
 g729char\exp3\original\a\a_f01s23.src	 g729char\exp1\coded\a\ae1f6f23.out	2.63	16000
 g729char\exp3\original\a\a_f02s23.src	 g729char\exp1\coded\a\ae1f9b23.out	2.943	16000
 g729char\exp3\original\a\a_m01s23.src	 g729char\exp1\coded\a\ae1m1723.out	2.871	16000
 g729char\exp3\original\a\a_m02s23.src	 g729char\exp1\coded\a\ae1m4323.out	3.045	16000
 g729char\exp3\original\a\a_f01s24.src	 g729char\exp1\coded\a\ae1f7024.out	2.902	16000
 g729char\exp3\original\a\a_f02s24.src	 g729char\exp1\coded\a\ae1f9c24.out	2.839	16000
 g729char\exp3\original\a\a_m01s24.src	 g729char\exp1\coded\a\ae1m1824.out	3.302	16000
 g729char\exp3\original\a\a_m02s24.src	 g729char\exp1\coded\a\ae1m4424.out	3.425	16000
 g729char\exp3\original\a\a_f01s25.src	 g729char\exp1\coded\a\ae1f7125.out	2.805	16000
 g729char\exp3\original\a\a_f02s25.src	 g729char\exp1\coded\a\ae1f9d25.out	2.812	16000
 g729char\exp3\original\a\a_m01s25.src	 g729char\exp1\coded\a\ae1m1925.out	3.24	16000
 g729char\exp3\original\a\a_m02s25.src	 g729char\exp1\coded\a\ae1m4525.out	3.347	16000
 g729char\exp3\original\a\a_f01s26.src	 g729char\exp1\coded\a\ae1f7226.out	2.878	16000
 g729char\exp3\original\a\a_f02s26.src	 g729char\exp1\coded\a\ae1f9e26.out	3.085	16000
 g729char\exp3\original\a\a_m01s26.src	 g729char\exp1\coded\a\ae1m1a26.out	3.165	16000
 g729char\exp3\original\a\a_m02s26.src	 g729char\exp1\coded\a\ae1m4626.out	3.369	16000
 g729char\exp3\original\a\a_f01s27.src	 g729char\exp1\coded\a\ae1f7327.out	3.023	16000
 g729char\exp3\original\a\a_f02s27.src	 g729char\exp1\coded\a\ae1f9f27.out	3.086	16000
 g729char\exp3\original\a\a_m01s27.src	 g729char\exp1\coded\a\ae1m1b27.out	3.186	16000
 g729char\exp3\original\a\a_m02s27.src	 g729char\exp1\coded\a\ae1m4727.out	3.158	16000
 g729char\exp3\original\a\a_f01s28.src	 g729char\exp1\coded\a\ae1f7428.out	2.693	16000
 g729char\exp3\original\a\a_f02s28.src	 g729char\exp1\coded\a\ae1fa028.out	2.749	16000
 g729char\exp3\original\a\a_m01s28.src	 g729char\exp1\coded\a\ae1m1c28.out	2.92	16000
 g729char\exp3\original\a\a_m02s28.src	 g729char\exp1\coded\a\ae1m4828.out	3.196	16000
 g729char\exp3\original\a\a_f01s29.src	 g729char\exp1\coded\a\ae1f7529.out	3.037	16000
 g729char\exp3\original\a\a_f02s29.src	 g729char\exp1\coded\a\ae1fa129.out	3.226	16000
 g729char\exp3\original\a\a_m01s29.src	 g729char\exp1\coded\a\ae1m1d29.out	3.426	16000
 g729char\exp3\original\a\a_m02s29.src	 g729char\exp1\coded\a\ae1m4929.out	3.576	16000
 g729char\exp3\original\a\a_f01s30.src	 g729char\exp1\coded\a\ae1f7630.out	3.113	16000
 g729char\exp3\original\a\a_f02s30.src	 g729char\exp1\coded\a\ae1fa230.out	3.224	16000
 g729char\exp3\original\a\a_m01s30.src	 g729char\exp1\coded\a\ae1m1e30.out	3.184	16000
 g729char\exp3\original\a\a_m02s30.src	 g729char\exp1\coded\a\ae1m4a30.out	3.411	16000
 g729char\exp3\original\a\a_f01s31.src	 g729char\exp1\coded\a\ae1f7731.out	3.015	16000
 g729char\exp3\original\a\a_f02s31.src	 g729char\exp1\coded\a\ae1fa331.out	3.172	16000
 g729char\exp3\original\a\a_m01s31.src	 g729char\exp1\coded\a\ae1m1f31.out	3.426	16000
 g729char\exp3\original\a\a_m02s31.src	 g729char\exp1\coded\a\ae1m4b31.out	3.567	16000
