REFERENCE	 DEGRADED	 PESQMOS	 SAMPLE_FREQ
 or105.wav	 dg105.wav	2.237	8000
 or109.wav	 dg109.wav	3.18	8000
 or114.wav	 dg114.wav	2.147	8000
 or129.wav	 dg129.wav	2.68	8000
 or134.wav	 dg134.wav	2.365	8000
 or137.wav	 dg137.wav	3.67	8000
 or145.wav	 dg145.wav	3.016	8000
 or149.wav	 dg149.wav	2.558	8000
 or152.wav	 dg152.wav	2.768	8000
 or154.wav	 dg154.wav	2.694	8000
 or155.wav	 dg155.wav	2.606	8000
 or161.wav	 dg161.wav	2.608	8000
 or164.wav	 dg164.wav	2.85	8000
 or166.wav	 dg166.wav	2.527	8000
 or170.wav	 dg170.wav	2.452	8000
 or179.wav	 dg179.wav	1.828	8000
 or221.wav	 dg221.wav	2.774	8000
 or229.wav	 dg229.wav	2.94	8000
 or246.wav	 dg246.wav	2.205	8000
 or272.wav	 dg272.wav	3.288	8000
 u_am1s01.wav	 u_am1s01b1c1.wav	3.483	8000
 u_am1s01.wav	 u_am1s01b1c7.wav	2.42	8000
 u_am1s02.wav	 u_am1s02b1c9.wav	4.042	8000
 u_am1s01.wav	 u_am1s01b1c15.wav	3.179	8000
 u_am1s03.wav	 u_am1s03b1c16.wav	2.872	8000
 u_am1s03.wav	 u_am1s03b1c18.wav	2.806	8000
 u_am1s01.wav	 u_am1s01b2c1.wav	4.3	8000
 u_am1s02.wav	 u_am1s02b2c4.wav	3.634	8000
 u_am1s02.wav	 u_am1s02b2c5.wav	3.369	8000
 u_am1s03.wav	 u_am1s03b2c5.wav	3.911	8000
 u_am1s03.wav	 u_am1s03b2c6.wav	2.905	8000
 u_am1s03.wav	 u_am1s03b2c7.wav	3.579	8000
 u_am1s01.wav	 u_am1s01b2c8.wav	2.198	8000
 u_am1s03.wav	 u_am1s03b2c11.wav	3.276	8000
 u_am1s02.wav	 u_am1s02b2c14.wav	3.316	8000
 u_af1s01.wav	 u_af1s01b2c16.wav	3.307	8000
 u_af1s03.wav	 u_af1s03b2c16.wav	3.592	8000
 u_af1s02.wav	 u_af1s02b2c17.wav	2.614	8000
 u_af1s03.wav	 u_af1s03b2c17.wav	2.806	8000
 u_am1s03.wav	 u_am1s03b2c18.wav	2.54	8000

